1, And the winner by KO... YONG PHILLIPS, 1-0-0, 0-1-0
14038, And the winner by KO... TOMAS FILICE, 3-2-2, 5-7-0
14039, And the winner by KO... ARDEN SANDERS, 5-4-3, 4-6-0
14040, And the winner by KO... GEORGE DELPINO, 6-2-0, 2-5-3
14041, And the winner by KO... KIRK CUNNINGHAM, 7-5-2, 3-4-1
14042, And the winner by KO... WILLIS COLLINS, 5-5-4, 2-5-1
14043, And the winner by KO... WILMER COLLINS, 4-5-4, 4-2-3
14044, It's a Draw!!, 5-5-1, 5-1-2
14045, And the winner by KO... GERARDO PHILLIPS, 5-2-4, 3-5-1
14046, It's a Draw!!, 3-2-3, 5-5-2
14047, And the winner by KO... DESHAWN PALMER, 2-3-2, 6-3-6
14048, It's a Draw!!, 2-4-1, 4-5-1
14049, And the winner by KO... MARSHALL PIERCE, 2-3-5, 4-4-0
14050, And the winner by KO... BRAIN DAVIS, 3-3-1, 2-2-0
14051, And the winner by KO... TYRON HUGHES, 6-4-2, 2-2-2
14052, And the winner by KO... GENE DOUGLAS, 3-0-0, 3-3-1
14053, It's a Draw!!, 1-3-2, 9-4-1
14054, And the winner by KO... OTTO FREEMAN, 3-2-1, 3-6-1
14055, And the winner by KO... ROBBY SANCHEZ, 2-1-2, 0-7-3
14056, And the winner by KO... MARSHALL PIERCE, 5-5-2, 3-3-5
14057, It's a Draw!!, 4-5-3, 5-0-2
14058, And the winner by KO... JOE BURKE, 3-3-2, 4-4-3
14059, It's a Draw!!, 2-2-3, 0-3-1
14060, And the winner by KO... ISAIAS BERRY, 5-3-0, 4-3-3
14061, And the winner by KO... NATHANAEL REYNOLDS, 6-8-3, 4-4-2
14062, And the winner by KO... JARROD MATTHEWS, 3-3-2, 2-6-1
14063, It's a Draw!!, 3-4-2, 3-6-3
14064, And the winner by KO... MONTE WALLACE, 2-7-1, 2-3-2
14065, And the winner by KO... ADOLFO FINTON, 5-3-1, 2-4-3
14066, And the winner by KO... WILTON RAMOS, 6-3-2, 3-6-1
14067, And the winner by KO... GALEN THOMPSON, 1-6-2, 6-2-3
14068, And the winner by KO... SAMUAL RYAN, 7-2-1, 2-6-2
14069, And the winner by KO... ELLIS FLEMING, 7-3-1, 4-1-2
14070, And the winner by KO... ELVIS WEST, 2-0-1, 3-5-3
14071, And the winner by KO... ELVIS MORRIS, 3-5-0, 3-5-2
14072, And the winner by KO... DOMINGO BUTLER, 1-2-3, 3-7-2
14073, And the winner by KO... CHUCK ENZ, 5-1-4, 4-3-3
14074, And the winner by KO... RUBEN HANSON, 2-1-1, 4-4-3
14075, And the winner by KO... CHANCE GONZALES, 9-3-5, 3-3-2
14076, And the winner by KO... DOMINIQUE GILBERT, 4-1-0, 3-5-1
14077, And the winner by KO... RICKEY BAILEY, 1-3-4, 3-3-3
14078, It's a Draw!!, 1-2-4, 2-2-3
14079, And the winner by KO... ROLLAND TAYLOR, 5-6-2, 2-3-2
14080, And the winner by KO... BASIL EKKER, 6-6-1, 3-5-0
14081, And the winner by KO... NAPOLEON MITCHELL, 2-5-6, 5-2-3
14082, And the winner by KO... ELI HANSON, 5-2-0, 6-6-2
14083, And the winner by KO... EARLE PIERCE, 3-4-0, 3-3-0
14084, And the winner by KO... ROB ALVAREZ, 4-8-1, 4-4-0
14085, And the winner by KO... ARIEL ELLIS, 2-5-0, 1-4-3
14086, And the winner by KO... WARREN FREEMAN, 1-5-1, 5-4-3
14087, And the winner by KO... SHAD WALTERS, 4-3-1, 2-1-3
14088, And the winner by KO... LAMAR PAYNE, 7-4-1, 5-3-0
14089, It's a Draw!!, 3-3-3, 6-4-4
14090, And the winner by KO... CHANCE OLSON, 8-4-1, 1-3-1
14091, And the winner by KO... SEBASTIAN DONATHAN, 1-2-1, 3-6-1
14092, And the winner by KO... ROBERTO FILMORE, 6-3-3, 3-4-2
14093, It's a Draw!!, 4-2-1, 5-1-4
14094, And the winner by KO... VAN DEVALLE, 4-1-1, 2-3-2
14095, And the winner by KO... ALPHONSO GRIFFIN, 3-4-0, 6-3-1
14096, And the winner by KO... OTTO KIM, 2-5-1, 4-3-0
14097, And the winner by KO... FREDERIC BLACK, 3-3-2, 4-4-2
14098, And the winner by KO... HERB HERRERA, 5-6-4, 3-1-4
14099, And the winner by KO... WILLARD MATTHEWS, 6-0-1, 2-2-4
14100, And the winner by KO... CEDRICK PETERSON, 4-5-2, 1-5-2
14101, And the winner by KO... CHET FULLER, 2-3-1, 7-3-1
14102, And the winner by KO... GREGG OWENS, 3-4-2, 7-5-1
14103, And the winner by KO... THOMAS JAMES, 5-6-0, 3-4-3
14104, And the winner by KO... AL DENMON, 5-2-1, 1-2-4
14105, And the winner by KO... RAYMUNDO MOORE, 3-3-1, 1-2-0
14106, It's a Draw!!, 3-7-4, 6-2-1
14107, And the winner by KO... DWIGHT MEDINA, 10-3-3, 9-5-2
14108, And the winner by KO... LEO DOUGLAS, 5-6-1, 2-4-2
14109, And the winner by KO... SAL SIMPSON, 6-3-2, 4-3-1
14110, And the winner by KO... RANDALL WEBB, 4-3-1, 2-6-1
14111, It's a Draw!!, 3-4-2, 1-1-3
14112, And the winner by KO... JON WILLIAMS, 3-2-1, 4-3-1
14113, It's a Draw!!, 5-0-3, 0-2-3
14114, And the winner by KO... CARMINE DELPINO, 7-4-0, 0-5-2
14115, It's a Draw!!, 3-3-4, 2-3-4
14116, And the winner by KO... DEVIN CARLSON, 4-2-0, 3-5-2
14117, And the winner by KO... FIDEL BROOKS, 4-3-1, 3-6-3
14118, And the winner by KO... KAREEM CRAWFORD, 5-3-4, 5-7-2
14119, And the winner by KO... HAYDEN DIXON, 3-2-1, 4-8-2
14120, And the winner by KO... ARON MARTINEZ, 2-1-2, 1-3-3
14121, It's a Draw!!, 2-1-3, 5-2-5
14122, And the winner by KO... JON WILLIAMS, 5-3-1, 2-5-1
14123, And the winner by KO... JEFFRY RODRIGUEZ, 4-3-1, 3-5-3
14124, And the winner by KO... JESUS WOOD, 3-4-3, 3-3-4
14125, And the winner by KO... COLEMAN WILLIS, 2-0-2, 6-4-1
14126, It's a Draw!!, 4-2-1, 3-2-2
14127, And the winner by KO... DANIEL DIXON, 7-1-1, 3-1-3
14128, And the winner by KO... BRET PRICE, 3-4-1, 1-5-2
14129, And the winner by KO... GRAHAM SILVA, 5-7-0, 4-4-3
14130, And the winner by KO... KELLEY KNIGHT, 8-5-2, 1-3-4
14131, And the winner by KO... GALEN FRAZIER, 3-5-2, 3-4-1
14132, And the winner by KO... SHELBY PRICE, 6-3-3, 5-2-2
14133, And the winner by KO... HARLAN RIVERA, 7-2-1, 2-3-0
14134, And the winner by KO... RODRICK DERBYSHIRE, 2-4-1, 7-4-3
14135, It's a Draw!!, 3-3-4, 4-4-1
14136, It's a Draw!!, 4-1-3, 3-2-4
14137, And the winner by KO... JULES FLEMING, 6-4-1, 5-1-0
14138, And the winner by KO... BRAIN DAVIS, 2-6-1, 4-4-1
14139, And the winner by KO... FREDRIC MURPHY, 5-2-2, 7-1-1
14140, And the winner by KO... MARY TAYLOR, 3-3-5, 7-9-1
14141, And the winner by KO... SCOTT JOHNSON, 2-2-3, 5-2-1
14142, And the winner by KO... ARNOLDO RIVERA, 2-2-3, 6-1-2
14143, And the winner by KO... MANUAL FERGUSON, 4-3-2, 3-4-4
14144, It's a Draw!!, 0-3-4, 4-2-2
14145, And the winner by KO... ELVIN WHITE, 5-2-2, 3-6-0
14146, And the winner by KO... VERN AUSTIN, 6-4-3, 2-3-1
14147, And the winner by KO... GLENN COX, 5-5-0, 3-5-0
14148, And the winner by KO... RANDELL DONATHAN, 5-7-2, 4-5-3
14149, It's a Draw!!, 4-4-3, 3-3-1
14150, It's a Draw!!, 3-3-3, 3-3-1
14151, And the winner by KO... JOSIAH HERNANDEZ, 6-0-2, 3-4-2
14152, And the winner by KO... JEROME DAVIDSON, 3-6-2, 2-3-1
14153, It's a Draw!!, 7-5-3, 4-5-3
14154, And the winner by KO... BEN FAUSNAUGHT, 3-3-3, 7-3-0
14155, And the winner by KO... TOM GONZALEZ, 2-3-2, 1-2-1
14156, And the winner by KO... MALCOM MARTINEZ, 1-4-1, 5-8-1
14157, And the winner by KO... NAPOLEON MITCHELL, 3-1-0, 6-2-3
14158, It's a Draw!!, 1-6-2, 3-3-1
14159, It's a Draw!!, 4-6-1, 7-5-4
14160, And the winner by KO... HAYDEN DIXON, 4-4-0, 4-2-1
14161, And the winner by KO... LINDSEY SOTO, 5-4-2, 6-3-3
14162, And the winner by KO... LES BRYANT, 3-7-1, 3-1-3
14163, And the winner by KO... CLAY WELCH, 6-4-3, 3-6-2
14164, And the winner by KO... MCKINLEY WALKER, 4-6-4, 5-6-0
14165, And the winner by KO... THOMAS MCCOY, 7-6-1, 4-6-1
14166, And the winner by KO... JARED SHAW, 1-5-1, 6-2-0
14167, And the winner by KO... ALEX HUGHES, 5-3-4, 6-4-1
14168, And the winner by KO... DEREK TURNER, 4-1-2, 2-7-1
14169, And the winner by KO... GREG CUNNINGHAM, 2-3-0, 5-2-3
14170, And the winner by KO... SEYMOUR DOMKE, 5-5-1, 4-6-4
14171, And the winner by KO... THADDEUS JENKINS, 6-4-0, 3-6-2
14172, And the winner by KO... COLUMBUS PERKINS, 2-4-2, 5-4-0
14173, And the winner by KO... WARREN KENNEDY, 4-3-4, 4-3-2
14174, And the winner by KO... BERNIE GRANT, 4-4-4, 4-3-3
14175, And the winner by KO... ANTWAN TUCKER, 4-6-1, 4-5-1
14176, And the winner by KO... COLIN PALMER, 2-1-2, 5-4-0
14177, And the winner by KO... LORENZO NELSON, 4-2-2, 1-4-4
14178, And the winner by KO... DOMINIC STEVENS, 4-6-1, 8-11-3
14179, And the winner by KO... CARMINE DELPINO, 1-9-1, 8-4-0
14180, And the winner by KO... KOREY CHAVEZ, 1-6-3, 7-5-1
14181, And the winner by KO... RIGOBERTO CARROLL, 2-3-1, 5-4-1
14182, And the winner by KO... DANILO MEYER, 7-3-3, 2-4-4
14183, It's a Draw!!, 3-6-2, 3-3-3
14184, And the winner by KO... WERNER CARPENTER, 4-3-2, 5-2-0
14185, And the winner by KO... TREVOR FERGUSON, 5-5-3, 1-7-2
14186, And the winner by KO... FREDRIC SHAW, 4-3-4, 6-5-2
14187, And the winner by KO... CLEMENT BURKE, 6-5-2, 3-7-2
14188, It's a Draw!!, 5-7-3, 2-6-2
14189, And the winner by KO... RON ROBERTSON, 4-4-2, 2-4-3
14190, And the winner by KO... ANTONY YOUNG, 7-4-2, 3-2-2
14191, And the winner by KO... GAYLE MENDOZA, 2-7-3, 5-1-1
14192, And the winner by KO... GARTH KELLEY, 5-6-3, 4-7-1
14193, And the winner by KO... KOREY CHAVEZ, 5-3-1, 8-5-1
14194, And the winner by KO... LANE COLLINS, 4-4-1, 5-2-1
14195, And the winner by KO... HUNG CURTIS, 5-3-1, 3-2-1
14196, It's a Draw!!, 5-2-3, 4-3-2
14197, And the winner by KO... EMMANUEL MARSHALL, 3-7-2, 4-2-0
14198, And the winner by KO... JOHNATHON REYNOLDS, 5-4-1, 9-5-2
14199, It's a Draw!!, 4-2-3, 5-9-3
14200, And the winner by KO... DALTON RUSSELL, 2-3-0, 6-0-3
14201, And the winner by KO... DARREN CHAPMAN, 5-4-1, 5-3-1
14202, And the winner by KO... WILEY FOX, 5-1-1, 2-1-0
14203, And the winner by KO... QUINCY OLIVER, 5-1-4, 4-2-1
14204, It's a Draw!!, 2-5-3, 2-2-4
14205, And the winner by KO... RUBIN MATTHEWS, 1-3-1, 4-2-2
14206, And the winner by KO... EZRA POWELL, 6-4-0, 7-3-0
14207, And the winner by KO... GROVER GARRETT, 3-4-2, 2-3-0
14208, And the winner by KO... DEVIN CARLSON, 5-4-2, 5-2-0
14209, And the winner by KO... ANTONIA TUCKER, 1-2-1, 3-5-2
14210, And the winner by KO... JERAMY ROMERO, 4-5-2, 8-3-0
14211, And the winner by KO... DAMIEN MONTGOMERY, 2-9-1, 4-3-1
14212, And the winner by KO... ELVIN MARTINEZ, 4-3-0, 7-4-2
14213, And the winner by KO... WILFREDO GUTIERREZ, 3-3-2, 2-3-2
14214, And the winner by KO... GROVER DONATHAN, 2-5-2, 5-1-2
14215, And the winner by KO... DAMION SANDERS, 2-4-1, 3-8-4
14216, And the winner by KO... JEREMIAH STEWART, 2-4-1, 2-4-3
14217, And the winner by KO... JOSHUA DIAZ, 3-6-1, 6-5-1
14218, And the winner by KO... TAD PRICE, 3-6-2, 3-2-1
14219, And the winner by KO... BRUNO ALVAREZ, 5-6-2, 5-3-2
14220, And the winner by KO... EMERSON TAYLOR, 5-4-1, 4-3-1
14221, And the winner by KO... ROLAND NELSON, 2-3-3, 4-3-3
14222, And the winner by KO... VALENTIN PETERSON, 7-2-0, 2-2-2
14223, And the winner by KO... GERARDO PHILLIPS, 5-3-2, 6-2-4
14224, And the winner by KO... RAMIRO DENA, 4-1-2, 3-2-3
14225, It's a Draw!!, 1-3-2, 3-2-2
14226, And the winner by KO... VAL RAMIREZ, 3-5-3, 4-3-2
14227, It's a Draw!!, 12-3-4, 2-2-5
14228, And the winner by KO... DARNELL MONTGOMERY, 4-2-0, 2-6-3
14229, And the winner by KO... NICOLAS KIM, 4-3-1, 2-5-2
14230, And the winner by KO... WARREN KENNEDY, 2-5-2, 5-3-2
14231, It's a Draw!!, 1-5-1, 1-3-3
14232, And the winner by KO... MATHEW GOMEZ, 3-2-3, 7-5-3
14233, And the winner by KO... JOESPH ROBERTSON, 2-4-3, 5-1-1
14234, It's a Draw!!, 1-2-3, 0-3-2
14235, And the winner by KO... HUNG CURTIS, 2-4-1, 4-2-1
14236, And the winner by KO... JACKSON EDWARDS, 4-8-4, 4-2-0
14237, And the winner by KO... LUKE RICE, 6-4-3, 7-4-2
14238, And the winner by KO... GALEN FRAZIER, 2-6-1, 4-6-2
14239, And the winner by KO... CASEY BANKS, 7-3-2, 2-5-2
14240, And the winner by KO... ARCHIE REED, 3-2-0, 4-10-1
14241, And the winner by KO... DARRYL DUNWOODY, 6-2-5, 2-4-1
14242, It's a Draw!!, 2-5-4, 2-7-2
14243, And the winner by KO... TOM GONZALEZ, 3-3-2, 3-4-0
14244, And the winner by KO... WILL MEYER, 2-4-4, 7-3-1
14245, It's a Draw!!, 2-3-2, 0-4-2
14246, And the winner by KO... MARLIN SULLIVAN, 3-1-2, 6-0-1
14247, And the winner by KO... VITO SMITH, 5-3-0, 2-3-4
14248, And the winner by KO... SOL HAWKINS, 1-5-1, 4-2-3
14249, And the winner by KO... JOEL WATKINS, 6-6-1, 4-2-1
14250, And the winner by KO... CARROLL LAWRENCE, 5-4-0, 2-2-1
14251, It's a Draw!!, 8-2-2, 3-2-3
14252, It's a Draw!!, 7-3-2, 2-3-3
14253, And the winner by KO... GLENN PAYNE, 0-5-2, 4-4-1
14254, It's a Draw!!, 3-3-1, 3-1-2
14255, And the winner by KO... TYSON VASQUEZ, 3-3-3, 6-2-2
14256, And the winner by KO... MOSHE SPENCER, 6-2-2, 2-4-1
14257, And the winner by KO... WERNER SOTO, 4-1-2, 5-5-3
14258, It's a Draw!!, 3-3-3, 6-2-6
14259, And the winner by KO... KELLEY KNIGHT, 3-2-2, 2-3-4
14260, It's a Draw!!, 3-6-3, 3-5-1
14261, And the winner by KO... ANTONIA MAY, 5-3-0, 3-3-1
14262, It's a Draw!!, 3-6-3, 0-5-3
14263, And the winner by KO... HANK BENNETT, 8-5-4, 2-6-1
14264, And the winner by KO... ERIC EGGLETON, 5-2-0, 4-9-3
14265, And the winner by KO... COY RAMOS, 1-4-0, 2-7-3
14266, It's a Draw!!, 5-7-4, 1-3-1
14267, And the winner by KO... DONOVAN REYNOLDS, 2-4-7, 4-5-0
14268, And the winner by KO... LAMAR PAYNE, 6-3-0, 3-4-0
14269, And the winner by KO... ANIBAL WALLACE, 4-1-0, 4-3-4
14270, And the winner by KO... KELVIN DELUCCA, 7-3-1, 2-5-1
14271, And the winner by KO... HUGH SCOTT, 4-2-1, 3-4-0
14272, And the winner by KO... SANFORD HUDSON, 6-4-1, 1-3-1
14273, And the winner by KO... LUIS DURIO, 6-3-3, 4-2-2
14274, And the winner by KO... DARREL LEWIS, 4-3-4, 1-2-4
14275, And the winner by KO... DION MORRISON, 6-5-3, 6-5-4
14276, And the winner by KO... MOSE ROBINSON, 3-1-2, 3-5-3
14277, It's a Draw!!, 6-2-1, 2-5-5
14278, And the winner by KO... BRITT WADE, 8-2-3, 3-4-2
14279, And the winner by KO... LUCIO REYNOLDS, 3-2-1, 2-5-2
14280, It's a Draw!!, 3-1-3, 3-2-2
14281, And the winner by KO... JULES LEE, 9-1-0, 1-4-2
14282, And the winner by KO... GONZALO SHAW, 4-2-2, 2-6-1
14283, It's a Draw!!, 4-5-2, 5-2-3
14284, And the winner by KO... DERRICK DEVALLE, 2-4-0, 6-5-1
14285, And the winner by KO... AMADO WRIGHT, 3-6-0, 4-5-0
14286, And the winner by KO... ARCHIE REED, 4-2-0, 1-5-2
14287, It's a Draw!!, 3-5-4, 2-2-3
14288, And the winner by KO... DONOVAN REYNOLDS, 5-4-4, 5-5-0
14289, It's a Draw!!, 5-6-1, 4-2-3
14290, And the winner by KO... JOHNNIE WILLIS, 4-4-2, 6-4-0
14291, And the winner by KO... RODRICK BARNES, 5-8-2, 2-2-3
14292, And the winner by KO... JEFFERSON BARNES, 3-2-3, 5-4-2
14293, And the winner by KO... NICKOLAS WEST, 6-3-4, 3-5-0
14294, It's a Draw!!, 6-7-3, 4-3-3
14295, And the winner by KO... ANGEL RAMOS, 6-2-1, 5-3-1
14296, And the winner by KO... HONG WAGNER, 3-4-2, 4-3-3
14297, And the winner by KO... KENNY ENRIQUES, 3-2-1, 4-6-1
14298, It's a Draw!!, 7-1-2, 2-4-1
14299, And the winner by KO... HAYDEN WALLACE, 1-6-0, 1-3-2
14300, And the winner by KO... EFREN FOX, 1-3-1, 4-6-0
14301, And the winner by KO... BRYAN REED, 6-2-2, 5-7-0
14302, And the winner by KO... LUIS THOMPSON, 4-4-2, 5-3-2
14303, And the winner by KO... LONG GRAY, 4-5-1, 7-2-0
14304, And the winner by KO... LEROY RUIZ, 2-6-1, 5-3-1
14305, And the winner by KO... DANNY BROOKS, 2-4-1, 4-3-4
14306, And the winner by KO... CLAYTON RICE, 3-3-0, 3-5-1
14307, And the winner by KO... RANDAL GREENE, 3-7-1, 5-0-1
14308, And the winner by KO... ROOSEVELT MORALES, 3-4-1, 0-2-1
14309, And the winner by KO... RUSSEL MARTIN, 3-4-3, 5-6-4
14310, And the winner by KO... LESTER RYAN, 3-1-2, 3-5-2
14311, It's a Draw!!, 1-5-1, 0-2-4
14312, It's a Draw!!, 1-4-3, 2-4-5
14313, And the winner by KO... GERARDO TORRES, 3-5-2, 3-2-2
14314, It's a Draw!!, 9-4-4, 6-2-3
14315, And the winner by KO... LINDSEY BENNETT, 3-1-2, 6-1-1
14316, And the winner by KO... BOBBIE NGUYEN, 5-6-0, 3-3-1
14317, It's a Draw!!, 4-3-6, 1-4-3
14318, And the winner by KO... PATRICIA BELL, 5-4-1, 8-7-3
14319, And the winner by KO... JONAS HUNTER, 4-4-3, 10-5-1
14320, And the winner by KO... ARTURO SOTO, 4-5-3, 4-2-3
14321, It's a Draw!!, 5-2-2, 4-0-3
14322, And the winner by KO... DARELL TORRES, 5-5-2, 5-3-1
14323, And the winner by KO... MERVIN ENRIQUES, 4-3-2, 3-8-1
14324, And the winner by KO... TRINIDAD DINGEE, 3-5-2, 7-6-1
14325, And the winner by KO... WM HERNANDEZ, 5-2-1, 3-5-3
14326, It's a Draw!!, 4-4-2, 3-4-2
14327, It's a Draw!!, 1-1-6, 1-5-4
14328, It's a Draw!!, 2-5-2, 4-6-3
14329, And the winner by KO... CHARLEY WARREN, 6-3-2, 3-5-1
14330, And the winner by KO... WADE MASON, 3-6-1, 5-4-2
14331, And the winner by KO... MARLON FILMORE, 4-4-4, 7-2-0
14332, And the winner by KO... FELIPE WEST, 1-1-3, 5-5-1
14333, And the winner by KO... JON WHEELER, 6-2-1, 7-6-3
14334, And the winner by KO... SIDNEY SANCHEZ, 3-4-4, 3-4-1
14335, And the winner by KO... GREGORY HENDERSON, 8-3-1, 1-7-3
14336, And the winner by KO... ISAIAS BERRY, 6-3-0, 5-4-1
14337, It's a Draw!!, 2-5-4, 2-2-4
14338, And the winner by KO... ARIEL HOWARD, 9-5-2, 2-5-1
14339, It's a Draw!!, 3-4-4, 1-6-1
14340, And the winner by KO... AARON MOORE, 2-3-0, 2-8-4
14341, It's a Draw!!, 6-3-7, 5-4-3
14342, And the winner by KO... JAMAAL HERNANDEZ, 5-5-3, 3-5-2
14343, And the winner by KO... BUFORD GRAY, 4-3-1, 6-4-3
14344, And the winner by KO... TITUS GARCIA, 4-3-0, 8-3-4
14345, And the winner by KO... GERARD ROMERO, 3-4-1, 5-4-1
14346, And the winner by KO... IVAN MARSHALL, 5-3-1, 4-6-2
14347, And the winner by KO... DUSTY WATKINS, 3-4-1, 2-2-2
14348, And the winner by KO... MAX DUNWOODY, 7-6-3, 4-5-3
14349, It's a Draw!!, 3-3-1, 2-3-4
14350, And the winner by KO... KOREY CHAVEZ, 4-3-2, 9-5-1
14351, And the winner by KO... AUGUSTUS CARTER, 5-4-1, 1-3-0
14352, And the winner by KO... HERBERT CUNNINGHAM, 9-6-2, 7-4-2
14353, And the winner by KO... ISAIAS BERRY, 5-4-1, 7-3-0
14354, And the winner by KO... TOMAS PETERS, 1-4-5, 4-2-3
14355, And the winner by KO... MERLIN ROBERTSON, 9-2-0, 3-3-3
14356, It's a Draw!!, 2-5-3, 1-2-3
14357, And the winner by KO... WENDELL COLEMAN, 3-4-2, 4-3-1
14358, And the winner by KO... FLORENCIO LITTLE, 3-2-1, 3-7-0
14359, And the winner by KO... COLEMAN DELPINO, 5-1-0, 4-3-2
14360, And the winner by KO... PAT ROSE, 7-2-4, 3-2-3
14361, It's a Draw!!, 2-7-3, 5-4-4
14362, And the winner by KO... MITCH RODRIGUEZ, 3-3-1, 5-5-1
14363, It's a Draw!!, 4-6-2, 5-4-2
14364, And the winner by KO... OSWALDO WHITE, 5-4-0, 3-5-1
14365, And the winner by KO... VALENTINE STONE, 0-4-1, 2-2-3
14366, And the winner by KO... BENNIE GORDON, 2-7-1, 7-4-0
14367, And the winner by KO... JAY CURTIS, 5-2-2, 3-9-1
14368, And the winner by KO... BROCK ANDREWS, 1-9-3, 6-9-3
14369, And the winner by KO... MARTIN DAVIS, 2-6-0, 7-2-1
14370, And the winner by KO... KURT EKKER, 3-7-0, 5-2-2
14371, And the winner by KO... ELROY BURNS, 4-2-1, 2-8-1
14372, And the winner by KO... ARNOLD HANSON, 4-5-2, 3-7-3
14373, And the winner by KO... CARMEN ARNOLD, 6-6-4, 5-3-3
14374, And the winner by KO... COLIN DAY, 5-4-3, 1-4-4
14375, And the winner by KO... LINDSEY HUNT, 3-2-2, 1-3-0
14376, And the winner by KO... BUD EKDAHL, 4-5-2, 2-10-0
14377, And the winner by KO... CHUCK PEREZ, 4-2-2, 4-4-0
14378, And the winner by KO... OTHA LEWIS, 6-5-1, 4-10-3
14379, It's a Draw!!, 5-2-3, 4-0-2
14380, And the winner by KO... LEON HOFFMAN, 6-3-2, 2-5-3
14381, And the winner by KO... DOUGLAS ESSMAN, 9-2-3, 2-2-1
14382, It's a Draw!!, 4-2-2, 1-5-3
14383, And the winner by KO... PIERRE JACKSON, 3-3-2, 4-4-3
14384, And the winner by KO... DANNIE HARVEY, 6-0-1, 2-4-2
14385, And the winner by KO... LACY JENKINS, 4-4-3, 1-3-2
14386, And the winner by KO... EZRA POWELL, 5-2-2, 7-4-0
14387, And the winner by KO... JUDE BARNES, 1-4-1, 7-6-2
14388, And the winner by KO... KENNY ENRIQUES, 3-2-0, 4-2-1
14389, And the winner by KO... JEFFERY OWENS, 3-1-2, 7-4-2
14390, And the winner by KO... DAMIAN PETERS, 5-6-1, 3-6-2
14391, It's a Draw!!, 4-4-2, 5-6-2
14392, And the winner by KO... AMBROSE BYRD, 4-3-1, 7-6-2
14393, And the winner by KO... GLENN PAYNE, 5-4-1, 6-6-1
14394, And the winner by KO... FELIX DINGEE, 2-3-0, 2-0-0
14395, And the winner by KO... LONNY ROBERTS, 6-5-1, 2-6-1
14396, It's a Draw!!, 1-5-2, 3-2-2
14397, It's a Draw!!, 1-6-3, 1-2-5
14398, And the winner by KO... JERAMY ESSMAN, 4-3-3, 3-8-0
14399, And the winner by KO... ANTON CRAWFORD, 1-4-1, 6-5-0
14400, It's a Draw!!, 4-2-3, 2-6-3
14401, And the winner by KO... DWIGHT HALL, 8-2-2, 2-2-0
14402, It's a Draw!!, 6-3-2, 1-1-4
14403, And the winner by KO... TREVOR FERGUSON, 5-3-4, 6-5-3
14404, And the winner by KO... GINO WATSON, 4-4-1, 5-6-3
14405, And the winner by KO... CLINTON HENDERSON, 2-4-0, 1-3-6
14406, And the winner by KO... FLETCHER ELLIOTT, 3-2-2, 4-7-1
14407, And the winner by KO... MILLARD HART, 4-4-1, 4-2-3
14408, And the winner by KO... ANTONIA GRIFFIN, 4-2-2, 6-5-1
14409, And the winner by KO... BERNIE GRANT, 4-4-1, 5-3-3
14410, And the winner by KO... CLEVELAND PALMER, 4-5-1, 8-4-5
14411, And the winner by KO... BERNARDO ROGERS, 3-4-0, 3-3-1
14412, It's a Draw!!, 4-1-2, 2-4-1
14413, And the winner by KO... LOGAN MEDINA, 5-5-2, 6-4-2
14414, And the winner by KO... ARON MARTINEZ, 2-3-3, 2-2-0
14415, It's a Draw!!, 3-5-3, 4-2-4
14416, And the winner by KO... FREDERICK BAILEY, 7-3-0, 1-2-3
14417, And the winner by KO... EDMUNDO BURTON, 5-1-1, 1-3-0
14418, It's a Draw!!, 1-5-2, 3-1-1
14419, It's a Draw!!, 5-6-3, 5-5-2
14420, And the winner by KO... RICHIE MARSHALL, 1-1-2, 3-2-3
14421, And the winner by KO... NESTOR CLARK, 5-4-0, 8-0-2
14422, And the winner by KO... GILBERT ROBERTS, 5-2-0, 7-3-2
14423, And the winner by KO... DARRELL MORGAN, 3-4-0, 3-5-1
14424, It's a Draw!!, 2-6-3, 2-4-3
14425, And the winner by KO... LENARD DESAUTELS, 3-5-2, 3-4-3
14426, And the winner by KO... WALKER KIM, 3-2-4, 4-7-1
14427, And the winner by KO... JONAS HUNTER, 5-4-3, 2-4-0
14428, And the winner by KO... AUBREY SIMMONS, 2-4-4, 3-0-0
14429, And the winner by KO... DALTON CARR, 3-1-1, 6-10-3
14430, It's a Draw!!, 1-4-3, 3-3-3
14431, And the winner by KO... RAMIRO DEVEAUX, 4-7-0, 3-5-2
14432, And the winner by KO... NEAL ALEXANDER, 0-6-1, 2-7-0
14433, And the winner by KO... DAVE STANLEY, 6-0-3, 4-2-3
14434, And the winner by KO... ARMAND JENKINS, 6-1-3, 2-3-2
14435, And the winner by KO... KURT EKKER, 2-7-1, 6-2-2
14436, It's a Draw!!, 4-1-4, 5-5-2
14437, And the winner by KO... LINDSAY MORALES, 2-8-1, 3-7-1
14438, And the winner by KO... ALEX RICE, 3-2-1, 2-6-1
14439, And the winner by KO... LYNDON WHEELER, 3-3-2, 3-5-2
14440, And the winner by KO... AMBROSE BYRD, 3-2-4, 5-3-1
14441, It's a Draw!!, 4-7-3, 6-4-3
14442, And the winner by KO... ANGEL RAMOS, 6-3-1, 5-2-3
14443, And the winner by KO... JARED SHAW, 7-2-0, 2-1-1
14444, And the winner by KO... WESTON HARPER, 6-2-5, 2-4-5
14445, And the winner by KO... MANUEL THOMPSON, 2-7-1, 2-1-4
14446, And the winner by KO... GIL WOOD, 4-3-2, 4-2-1
14447, And the winner by KO... JAE PIERCE, 3-4-3, 5-5-3
